Emmanuel,6364,5783,1982,5597,4950,4655,4419,2901,3150
Eshkolot,621,639,1982,634,618,596,584,578,148
Etz Efrayim^^,,,1985,2608,2547,2503,731,500,
Fetzael,465,453,1975,451,416,373,357,205,228
Galgal,225,229,1970,227,212,208,193,172,164
Ganei Modiin,3712,3654,1996,3570,3481,3515,3411,,
Gittit,630,617,1973,592,554,557,548,259,109
Givat Ze'ev,25630,24654,1982,25630,21589,20627,19300,10779,10000
Givon HaHadasha,1214,1246,1980,1262,1250,1277,1318,1113,1180
Gvaot Haroeh,132,49,,,,,,,
Haggai,916,853,1984,828,760,743,721,489,405
Halamish,1509,1481,1977,1451,1315,1264,1254,1054,1100
Hamra,286,278,1971,267,222,205,188,91,149
Har Adar,4403,4448,1986,4493,4430,4398,4362,3211,1380
Har Gilo,1671,1689,1972,1709,1672,1644,1646,566,363
Hashmonaim,2916,2974,1985,3020,3096,3160,3262,2588,1770
Hemdat,397,377,1980,359,327,295,273,176,N/A
Hermesh (Chermesh),298,298,1982,289,285,285,277,177,272
Hevron,609,599,1980,616,616,563,575,,
Hinnanit (Chinanit),1997,1959,1981,1847,1680,1647,1563,768,432
Ibey HaNachal,6,,2025,,,,,,
Itamar,1710,1641,1984,1594,1380,1304,1256,1032,511
Kalia,567,545,1968,528,489,466,455,300,262
Karnei Shomron^,11199,11023,1978,10781,10507,10201,8833,6210,5590
Kedar,1627,1623,1984,1605,1600,1589,1565,960,393
Kedumim,4854,4866,1975,4831,4779,4798,4768,3774,2540
Kerm Raim,15,,2025,,,,,,
Kfar Adumim,5276,5138,1979,5038,4862,4664,4609,3099,1590
Kfar Etzion,1106,1108,1967,1074,1014,905,871,818,421
Kfar HaOranim,2352,2378,1998,2392,2431,2441,2508,2440,332
Kfar Tapuach,1522,1561,1978,1539,1506,1437,1355,919,352
Kiryat Arba,8437,8352,1972,8321,8227,8072,8054,7096,6240
Kiryat Netafim,1108,987,1982,940,951,917,911,634,240
Kochav HaShahar,2973,2908,1977,2822,2713,2641,2428,1423,1080
Kochav Yaakov,3731,3735,1984,3792,10072,9634,8910,5811,1260
Lapid,,,1996,2431,,,,,
Leshem,1,,2025,,,,,,
Ma'ale Adumim,40800,40606,1975,40651,40659,40943,41277,34324,23800
Ma'ale Amos,1537,1410,1981,1327,997,878,825,264,342
Ma'ale Efrayim,1961,1848,1970,1835,1737,1659,1646,1270,1460
Ma'ale Levona,1048,969,1983,918,799,769,720,713,447
Ma'ale Michmash,2284,2206,1981,2094,1905,1843,1745,1079,753
Ma'ale Shomron^,,,1980,No Data,980,789,486,,
Ma'on,771,721,1981,691,639,641,652,368,265
Maskiot,396,382,1986,354,321,312,273,,
Matityahu,985,1004,1981,952,929,909,916,457,1410
Mechora,238,230,1973,221,220,212,202,122,120
Mehola,841,802,1968,789,7304,660,637,377,315
Mesua,486,440,1970,393,324,237,238,136,140
Metzad-Asfar,1591,1470,1984,1307,1110,968,899,377,356
Metzudat Yehuda,,738,1980,730,665,637,590,382,412
Mevo Dotan,936,838,1978,790,596,557,529,281,314
Mevo Horon,2711,2722,1970,2682,2647,2642,2578,1593,494
Mevuot Jericho,410,350,,398,233,121,,,
Migdal Oz,419,414,1977,408,403,427,416,436,280
Migdalim,880,758,1984,674,565,519,460,137,150
Migron,67,,2025,,,,,,
Mizpe Jericho,2856,2839,1978,2846,2599,2529,2531,1754,1160
Mizpe Shalem,229,240,1971,241,228,233,226,164,208
Modi'in Ilit,92339,90633,1981,88025,83510,80282,77811,46245,13000
Na'aleh,2979,2940,1988,2879,2581,2291,1871,935,105
Naama,343,332,1982,323,238,205,204,,
Nachliel,1008,805,1984,775,766,776,747,392,230
Negohot,682,637,1982,581,498,397,366,223,N/A
Neriya,7,,2025,,,,,,
Netiv HaGedud,245,231,1976,227,233,234,224,175,143
Neve Daniel,2957,2745,1982,2728,2675,2656,2658,1735,868
Nili,2283,2250,1981,2191,1968,1921,1787,846,666
Niran,155,143,1977,135,113,115,111,54,45
Nofey Prat,1,,2025,,,,,,
Nofim,1586,1440,1987,1364,1125,1024,934,409,362
Nokdim,3668,3433,1982,3191,2598,2421,2221,1308,526
Ofra,3332,3246,1975,3261,3280,3278,3235,3183,1870
Oranit,10212,10169,1984,10151,9919,9691,9628,5917,4780
Otniel,969,929,1983,945,910,897,879,802,553
Peduel,2292,2310,1984,2284,2257,2211,2186,1096,834
Pene Hever,643,630,1982,628,606,549,515,370,266
Psagot,2376,2388,1981,2297,2217,2164,2046,1563,1030
Rachelim,1321,1262,2013,1197,1004,922,826,,
Rechan,526,491,1977,466,407,368,340,164,100
Revava,3378,3306,1991,3294,3108,2997,2824,1113,389
Rimonim,722,738,1977,767,773,760,745,616,474
Roi,165,167,1976,178,170,170,173,150,133
Rosh Tzurim,1161,1152,1969,1108,1048,1029,1032,555,290
Rotem,320,312,1983,303,272,251,233,,
Sa-Nur,14,,,,,,,,
Salit,1626,1595,1977,1541,1483,1462,1391,498,377
Sansena,875,852,1997,835,742,646,581,,
Shaar Shomron^^,9024,9040,2022,9048,,,,,
Shaare Tikva^^,,,1982,6079,6007,5983,4493,3220,
Shacharit,21,3,,,,,,,
Shadmot Mehola,871,810,1978,793,770,781,752,493,400
Shaked,1192,1178,1981,1178,1100,1026,967,614,468
Shani,548,548,1989,554,423,490,,,
Shavei Shomron,1157,1178,1977,1182,1110,1093,1059,712,569
Shilo,6213,5949,1979,5637,5095,4737,4307,2005,1490
Shima,979,1099,1985,1070,957,884,813,304,263
Shvut Rachel,9,,2025,,,,,,
Susiya,1650,1695,1983,1641,1522,1382,1301,841,468
Talmon,6328,6287,1989,6109,5459,5201,4723,2580,1150
Tekoa,4985,4902,1977,4787,4632,4457,4338,1596,948
Tel Menashe,11,,2025,,,,,,
Tel Tzion,7549,7261,,6949,,,,,
Telem,724,643,1981,594,531,486,466,217,101
Tene,1194,1173,1983,1169,1076,1040,978,562,580
Tomer,399,390,1978,382,372,356,346,233,307
Tzofim,2985,2829,N/A,2769,2585,2517,2473,1129,794
Vered Jericho,414,433,1980,436,415,410,389,194,155
Yafit,300,273,1980,279,272,268,256,107,118
Yakir,2965,2939,1981,2905,2664,2542,2449,1207,765
Yetav,285,312,1970,333,371,401,425,118,107
Yizhar,2648,2495,1983,2288,2082,1888,1765,895,328
Total,541085,530193,,517407,490493,475481,463353,299340,176856
